Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 4046772k(3155288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2017-06-06T09:44:22.859+0000: 94.903: [GC (Allocation Failure) [PSYoungGen: 524800K->87024K(611840K)] 524800K->240473K(2010112K), 0.2309858 secs] [Times: user=0.21 sys=0.25, real=0.23 secs] 
2017-06-06T09:44:28.029+0000: 100.073: [GC (Allocation Failure) [PSYoungGen: 611812K->87020K(611840K)] 765260K->264789K(2010112K), 0.0938930 secs] [Times: user=0.06 sys=0.13, real=0.10 secs] 
2017-06-06T09:44:35.202+0000: 107.246: [GC (Allocation Failure) [PSYoungGen: 611654K->87020K(611840K)] 789423K->266621K(2010112K), 0.0463555 secs] [Times: user=0.08 sys=0.02, real=0.04 secs] 
2017-06-06T09:44:44.468+0000: 116.512: [GC (Allocation Failure) [PSYoungGen: 611459K->87020K(611840K)] 791060K->267718K(2010112K), 0.0477360 secs] [Times: user=0.08 sys=0.02, real=0.05 secs] 
2017-06-06T09:44:52.741+0000: 124.784: [GC (Allocation Failure) [PSYoungGen: 611421K->87020K(599040K)] 792118K->268406K(1997312K), 0.0337907 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2017-06-06T09:45:00.990+0000: 133.033: [GC (Allocation Failure) [PSYoungGen: 599020K->87020K(320000K)] 780406K->269142K(1718272K), 0.0441687 secs] [Times: user=0.08 sys=0.02, real=0.05 secs] 
2017-06-06T09:45:04.419+0000: 136.462: [GC (Allocation Failure) [PSYoungGen: 319734K->2624K(465920K)] 501856K->270996K(1864192K), 0.0937764 secs] [Times: user=0.06 sys=0.12, real=0.09 secs] 
2017-06-06T09:45:07.971+0000: 140.014: [GC (Allocation Failure) [PSYoungGen: 235443K->1280K(465920K)] 503816K->270968K(1864192K), 0.0094837 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:45:11.738+0000: 143.781: [GC (Allocation Failure) [PSYoungGen: 233873K->832K(465920K)] 503562K->270936K(1864192K), 0.0067392 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:45:15.392+0000: 147.435: [GC (Allocation Failure) [PSYoungGen: 233616K->736K(465920K)] 503721K->271168K(1864192K), 0.0119871 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
2017-06-06T09:45:19.168+0000: 151.211: [GC (Allocation Failure) [PSYoungGen: 233591K->608K(465920K)] 504024K->271176K(1864192K), 0.0093793 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:45:23.465+0000: 155.508: [GC (Allocation Failure) [PSYoungGen: 233445K->832K(467968K)] 504013K->271448K(1866240K), 0.0076511 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-06-06T09:45:27.876+0000: 159.919: [GC (Allocation Failure) [PSYoungGen: 235711K->608K(465920K)] 506328K->271292K(1864192K), 0.0062499 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:45:33.149+0000: 165.193: [GC (Allocation Failure) [PSYoungGen: 235245K->800K(483328K)] 505930K->271548K(1881600K), 0.0122843 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:45:38.400+0000: 170.443: [GC (Allocation Failure) [PSYoungGen: 260333K->672K(475136K)] 531082K->271524K(1873408K), 0.0101827 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:45:43.639+0000: 175.682: [GC (Allocation Failure) [PSYoungGen: 259852K->704K(501248K)] 530705K->271636K(1899520K), 0.0083252 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:45:49.953+0000: 181.996: [GC (Allocation Failure) [PSYoungGen: 295104K->672K(492032K)] 566036K->271660K(1890304K), 0.0067282 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:45:56.146+0000: 188.189: [GC (Allocation Failure) [PSYoungGen: 294831K->576K(520192K)] 565819K->271620K(1918464K), 0.0066062 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2017-06-06T09:46:03.319+0000: 195.362: [GC (Allocation Failure) [PSYoungGen: 332514K->672K(510976K)] 603559K->271756K(1909248K), 0.0069854 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:46:09.619+0000: 201.662: [GC (Allocation Failure) [PSYoungGen: 332875K->1102K(539136K)] 603960K->272227K(1937408K), 0.0072776 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:46:15.282+0000: 207.326: [GC (Allocation Failure) [PSYoungGen: 371278K->512K(529920K)] 642403K->271680K(1928192K), 0.0066336 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
